age x,US-F,US-M,China-F,China-M,UK-F,UK-M
0,100000,100000,100000,100000.00,100000.0,100000.0
1,99462,99361,99954.7,99943.40,99651.0,99572.4
2,99427,99316,99925.81309,99904.82,99628.0,99545.4
3,99405,99289,99907.42674,99878.05,99614.1,99530.1
4,99389,99267,99895.03822,99858.47,99604.4,99518.1
5,99376,99250,99885.54819,99842.69,99596.1,99507.9
6,99364,99234,99877.15781,99828.62,99589.2,99498.7
7,99354,99219,99869.36739,99815.44,99581.9,99491.0
8,99344,99206,99861.97706,99802.56,99575.2,99482.7
9,99334,99195,99854.78699,99789.49,99569.0,99475.8
10,99326,99185,99847.59745,99775.82,99563.1,99468.0
11,99317,99176,99840.20873,99761.25,99558.0,99460.3
12,99307,99166,99832.52103,99745.59,99550.7,99451.2
13,99296,99152,99824.53443,99728.63,99543.4,99441.8
14,99282,99132,99816.04934,99710.28,99534.3,99431.3
15,99265,99101,99807.0659,99690.64,99523.7,99419.6
16,99244,99061,99797.58423,99669.90,99511.2,99402.7
17,99219,99009,99787.60447,99648.07,99496.2,99380.9
18,99190,98945,99777.12677,99625.45,99480.9,99350.9
19,99157,98867,99766.15129,99602.04,99460.1,99311.3
20,99121,98774,99754.67818,99578.04,99440.2,99267.7
21,99081,98666,99742.70762,99553.34,99419.9,99221.4
22,99038,98544,99730.23978,99527.86,99398.9,99172.2
23,98992,98412,99717.37458,99501.58,99378.6,99123.3
24,98943,98275,99704.01245,99474.42,99356.1,99070.9
25,98891,98135,99690.15359,99446.17,99334.8,99017.9
26,98838,97993,99675.79821,99416.63,99310.8,98956.5
27,98781,97849,99660.94652,99385.41,99284.2,98899.9
28,98722,97702,99645.59873,99352.32,99256.7,98839.2
29,98659,97553,99629.65543,99317.15,99226.1,98772.0
30,98591,97399,99613.01728,99279.51,99193.1,98704.5
31,98518,97241,99595.585,99239.10,99155.9,98633.0
32,98440,97079,99577.06023,99195.63,99116.1,98557.2
33,98357,96913,99557.34397,99148.81,99068.6,98465.8
34,98270,96743,99536.13825,99098.35,99019.1,98378.4
35,98179,96569,99513.1454,99043.94,98968.7,98282.3
36,98084,96391,99487.96858,98985.31,98910.6,98181.5
37,97983,96207,99460.41041,98922.06,98845.3,98067.6
38,97876,96017,99430.07499,98853.80,98773.1,97950.8
39,97762,95820,99396.56705,98780.05,98701.0,97829.2
40,97640,95615,99359.59153,98700.24,98618.0,97692.9
41,97508,95401,99318.8541,98613.58,98526.2,97546.3
42,97366,95175,99274.16061,98519.41,98430.1,97379.2
43,97213,94936,99225.11918,98416.85,98324.2,97202.8
44,97047,94681,99171.53761,98304.85,98211.7,97009.7
45,96867,94409,99113.12558,98182.46,98084.7,96806.3
46,96674,94117,99049.69318,98048.54,97943.3,96593.1
47,96464,93803,98981.05174,97901.86,97793.7,96364.2
48,96234,93459,98906.81595,97741.20,97631.8,96100.0
49,95980,93079,98826.60252,97565.46,97458.4,95831.2
50,95700,92657,98739.93159,97373.55,97271.4,95533.4
51,95394,92191,98646.12866,97164.39,97063.0,95208.4
52,95062,91683,98544.4245,96937.03,96835.0,94875.1
53,94702,91131,98434.05474,96690.42,96585.6,94513.3
54,94314,90531,98314.06363,96423.65,96314.5,94138.3
55,93895,89881,98183.40424,96135.83,96024.1,93723.4
56,93443,89180,98041.0383,95826.17,95708.2,93262.0
57,92958,88427,97885.64326,95493.75,95362.6,92752.1
58,92441,87621,97715.71378,95137.46,94994.5,92207.8
59,91893,86760,97529.56535,94755.58,94592.9,91620.3
60,91312,85842,97325.04585,94345.95,94142.2,90976.1
61,90696,84862,97099.73837,93906.30,93655.9,90252.4
62,90043,83818,96851.06594,93433.58,93129.5,89475.0
63,89345,82711,96576.39631,92924.55,92544.5,88640.7
64,88599,81547,96273.43616,92375.46,91910.1,87711.4
65,87800,80330,95939.55988,91782.23,91237.6,86707.4
66,86944,79060,95571.63167,91140.85,90518.8,85645.8
67,86026,77733,95165.06995,90447.27,89714.8,84490.0
68,85041,76342,94713.98752,89697.28,88852.8,83256.5
69,83979,74876,94211.81395,88885.88,87933.0,81957.1
70,82827,73317,93651.91314,88006.18,86920.4,80545.1
