age,country-sex,survival
0,UK-Males,1
0,UK-Females,1
0,US-Males,1
0,US-Females,1
0,China-Males,1
0,China-Females,1
1,UK-Males,0.995724
1,UK-Females,0.99651
1,US-Males,0.99361
1,US-Females,0.99462
1,China-Males,0.999434
1,China-Females,0.999547
2,UK-Males,0.995454
2,UK-Females,0.99628
2,US-Males,0.99316
2,US-Females,0.99427
2,China-Males,0.999048218
2,China-Females,0.999258131
3,UK-Males,0.995301
3,UK-Females,0.996141
3,US-Males,0.99289
3,US-Females,0.99405
3,China-Males,0.998780474
3,China-Females,0.999074267
4,UK-Males,0.995181
4,UK-Females,0.996044
4,US-Males,0.99267
4,US-Females,0.99389
4,China-Males,0.998584713
4,China-Females,0.998950382
5,UK-Males,0.995079
5,UK-Females,0.995961
5,US-Males,0.9925
5,US-Females,0.99376
5,China-Males,0.998426936
5,China-Females,0.998855482
6,UK-Males,0.994987
6,UK-Females,0.995892
6,US-Males,0.99234
6,US-Females,0.99364
6,China-Males,0.998286158
6,China-Females,0.998771578
7,UK-Males,0.99491
7,UK-Females,0.995819
7,US-Males,0.99219
7,US-Females,0.99354
7,China-Males,0.998154384
7,China-Females,0.998693674
8,UK-Males,0.994827
8,UK-Females,0.995752
8,US-Males,0.99206
8,US-Females,0.99344
8,China-Males,0.998025622
8,China-Females,0.998619771
9,UK-Males,0.994758
9,UK-Females,0.99569
9,US-Males,0.99195
9,US-Females,0.99334
9,China-Males,0.997894881
9,China-Females,0.99854787
10,UK-Males,0.99468
10,UK-Females,0.995631
10,US-Males,0.99185
10,US-Females,0.99326
10,China-Males,0.997758169
10,China-Females,0.998475974
11,UK-Males,0.994603
11,UK-Females,0.99558
11,US-Males,0.99176
11,US-Females,0.99317
11,China-Males,0.997612497
11,China-Females,0.998402087
12,UK-Males,0.994512
12,UK-Females,0.995507
12,US-Males,0.99166
12,US-Females,0.99307
12,China-Males,0.997455871
12,China-Females,0.99832521
13,UK-Males,0.994418
13,UK-Females,0.995434
13,US-Males,0.99152
13,US-Females,0.99296
13,China-Males,0.997286304
13,China-Females,0.998245344
14,UK-Males,0.994313
14,UK-Females,0.995343
14,US-Males,0.99132
14,US-Females,0.99282
14,China-Males,0.997102803
14,China-Females,0.998160493
15,UK-Males,0.994196
15,UK-Females,0.995237
15,US-Males,0.99101
15,US-Females,0.99265
15,China-Males,0.996906374
15,China-Females,0.998070659
16,UK-Males,0.994027
16,UK-Females,0.995112
16,US-Males,0.99061
16,US-Females,0.99244
16,China-Males,0.996699018
16,China-Females,0.997975842
17,UK-Males,0.993809
17,UK-Females,0.994962
17,US-Males,0.99009
17,US-Females,0.99219
17,China-Males,0.99648074
17,China-Females,0.997876045
18,UK-Males,0.993509
18,UK-Females,0.994809
18,US-Males,0.98945
18,US-Females,0.9919
18,China-Males,0.996254539
18,China-Females,0.997771268
19,UK-Males,0.993113
19,UK-Females,0.994601
19,US-Males,0.98867
19,US-Females,0.99157
19,China-Males,0.99602042
19,China-Females,0.997661513
20,UK-Males,0.992677
20,UK-Females,0.994402
20,US-Males,0.98774
20,US-Females,0.99121
20,China-Males,0.995780379
20,China-Females,0.997546782
21,UK-Males,0.992214
21,UK-Females,0.994199
21,US-Males,0.98666
21,US-Females,0.99081
21,China-Males,0.995533425
21,China-Females,0.997427076
22,UK-Males,0.991722
22,UK-Females,0.993989
22,US-Males,0.98544
22,US-Females,0.99038
22,China-Males,0.995278569
22,China-Females,0.997302398
23,UK-Males,0.991233
23,UK-Females,0.993786
23,US-Males,0.98412
23,US-Females,0.98992
23,China-Males,0.995015815
23,China-Females,0.997173746
24,UK-Males,0.990709
24,UK-Females,0.993561
24,US-Males,0.98275
24,US-Females,0.98943
24,China-Males,0.994744176
24,China-Females,0.997040124
25,UK-Males,0.990179
25,UK-Females,0.993348
25,US-Males,0.98135
25,US-Females,0.98891
25,China-Males,0.994461668
25,China-Females,0.996901536
26,UK-Males,0.989565
26,UK-Females,0.993108
26,US-Males,0.97993
26,US-Females,0.98838
26,China-Males,0.994166313
26,China-Females,0.996757982
27,UK-Males,0.988999
27,UK-Females,0.992842
27,US-Males,0.97849
27,US-Females,0.98781
27,China-Males,0.993854145
27,China-Females,0.996609465
28,UK-Males,0.988392
28,UK-Females,0.992567
28,US-Males,0.97702
28,US-Females,0.98722
28,China-Males,0.993523192
28,China-Females,0.996455987
29,UK-Males,0.98772
29,UK-Females,0.992261
29,US-Males,0.97553
29,US-Females,0.98659
29,China-Males,0.993171484
29,China-Females,0.996296554
30,UK-Males,0.987045
30,UK-Females,0.991931
30,US-Males,0.97399
30,US-Females,0.98591
30,China-Males,0.992795072
30,China-Females,0.996130173
31,UK-Males,0.98633
31,UK-Females,0.991559
31,US-Males,0.97241
31,US-Females,0.98518
31,China-Males,0.992391005
31,China-Females,0.99595585
32,UK-Males,0.985572
32,UK-Females,0.991161
32,US-Males,0.97079
32,US-Females,0.9844
32,China-Males,0.991956337
32,China-Females,0.995770602
33,UK-Males,0.984658
33,UK-Females,0.990686
33,US-Males,0.96913
33,US-Females,0.98357
33,China-Males,0.991488134
33,China-Females,0.99557344
34,UK-Males,0.983784
34,UK-Females,0.990191
34,US-Males,0.96743
34,US-Females,0.9827
34,China-Males,0.990983467
34,China-Females,0.995361383
35,UK-Males,0.982823
35,UK-Females,0.989687
35,US-Males,0.96569
35,US-Females,0.98179
35,China-Males,0.990439417
35,China-Females,0.995131454
36,UK-Males,0.981815
36,UK-Females,0.989106
36,US-Males,0.96391
36,US-Females,0.98084
36,China-Males,0.989853077
36,China-Females,0.994879686
37,UK-Males,0.980676
37,UK-Females,0.988453
37,US-Males,0.96207
37,US-Females,0.97983
37,China-Males,0.98922056
37,China-Females,0.994604104
38,UK-Males,0.979508
38,UK-Females,0.987731
38,US-Males,0.96017
38,US-Females,0.97876
38,China-Males,0.988537998
38,China-Females,0.99430075
39,UK-Males,0.978292
39,UK-Females,0.98701
39,US-Males,0.9582
