age,uk-m,uk-f,us-m,us-f,china-m,china-f
0,1,1,1,1,1,1
1,0.995724,0.99651,0.99361,0.99462,0.999434,0.999547
2,0.995454,0.99628,0.99316,0.99427,0.999048218,0.999258131
3,0.995301,0.996141,0.99289,0.99405,0.998780474,0.999074267
4,0.995181,0.996044,0.99267,0.99389,0.998584713,0.998950382
5,0.995079,0.995961,0.9925,0.99376,0.998426936,0.998855482
6,0.994987,0.995892,0.99234,0.99364,0.998286158,0.998771578
7,0.99491,0.995819,0.99219,0.99354,0.998154384,0.998693674
8,0.994827,0.995752,0.99206,0.99344,0.998025622,0.998619771
9,0.994758,0.99569,0.99195,0.99334,0.997894881,0.99854787
10,0.99468,0.995631,0.99185,0.99326,0.997758169,0.998475974
11,0.994603,0.99558,0.99176,0.99317,0.997612497,0.998402087
12,0.994512,0.995507,0.99166,0.99307,0.997455871,0.99832521
13,0.994418,0.995434,0.99152,0.99296,0.997286304,0.998245344
14,0.994313,0.995343,0.99132,0.99282,0.997102803,0.998160493
15,0.994196,0.995237,0.99101,0.99265,0.996906374,0.998070659
16,0.994027,0.995112,0.99061,0.99244,0.996699018,0.997975842
17,0.993809,0.994962,0.99009,0.99219,0.99648074,0.997876045
18,0.993509,0.994809,0.98945,0.9919,0.996254539,0.997771268
19,0.993113,0.994601,0.98867,0.99157,0.99602042,0.997661513
20,0.992677,0.994402,0.98774,0.99121,0.995780379,0.997546782
21,0.992214,0.994199,0.98666,0.99081,0.995533425,0.997427076
22,0.991722,0.993989,0.98544,0.99038,0.995278569,0.997302398
23,0.991233,0.993786,0.98412,0.98992,0.995015815,0.997173746
24,0.990709,0.993561,0.98275,0.98943,0.994744176,0.997040124
25,0.990179,0.993348,0.98135,0.98891,0.994461668,0.996901536
26,0.989565,0.993108,0.97993,0.98838,0.994166313,0.996757982
27,0.988999,0.992842,0.97849,0.98781,0.993854145,0.996609465
28,0.988392,0.992567,0.97702,0.98722,0.993523192,0.996455987
29,0.98772,0.992261,0.97553,0.98659,0.993171484,0.996296554
30,0.987045,0.991931,0.97399,0.98591,0.992795072,0.996130173
31,0.98633,0.991559,0.97241,0.98518,0.992391005,0.99595585
32,0.985572,0.991161,0.97079,0.9844,0.991956337,0.995770602
33,0.984658,0.990686,0.96913,0.98357,0.991488134,0.99557344
34,0.983784,0.990191,0.96743,0.9827,0.990983467,0.995361383
35,0.982823,0.989687,0.96569,0.98179,0.990439417,0.995131454
36,0.981815,0.989106,0.96391,0.98084,0.989853077,0.994879686
37,0.980676,0.988453,0.96207,0.97983,0.98922056,0.994604104
38,0.979508,0.987731,0.96017,0.97876,0.988537998,0.99430075
39,0.978292,0.98701,0.9582,0.97762,0.987800549,0.993965671
