MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE
4,2000,999,281424600,138056128,143368472
4,2000,0,3805718,1949050,1856668
4,2000,1,3820647,1953136,1867511
4,2000,2,3790534,1939037,1851497
4,2000,3,3832855,1958991,1873864
4,2000,4,3926400,2010693,1915707
4,2000,5,3965175,2031106,1934069
4,2000,6,4019782,2058266,1961516
4,2000,7,4118211,2109896,2008315
4,2000,8,4179294,2137874,2041420
4,2000,9,4267393,2186337,2081056
4,2000,10,4274122,2191282,2082840
4,2000,11,4115158,2108201,2006957
4,2000,12,4075909,2087265,1988644
4,2000,13,4010930,2054044,1956886
4,2000,14,4052306,2079600,1972706
4,2000,15,4019472,2065161,1954311
4,2000,16,3975074,2048609,1926465
4,2000,17,4046050,2091303,1954747
4,2000,18,4051223,2078781,1972442
4,2000,19,4126963,2106912,2020051
4,2000,20,4048773,2071000,1977773
4,2000,21,3840692,1965514,1875178
4,2000,22,3758536,1921519,1837017
4,2000,23,3673654,1875451,1798203
4,2000,24,3641309,1854022,1787287
4,2000,25,3744610,1905951,1838659
4,2000,26,3619735,1832438,1787297
4,2000,27,3789888,1915016,1874872
4,2000,28,3984930,2010895,1974035
4,2000,29,4242629,2134797,2107832
4,2000,30,4290102,2174327,2115775
4,2000,31,4011714,2019895,1991819
4,2000,32,3994252,2008972,1985280
4,2000,33,4026708,2018121,2008587
4,2000,34,4188291,2100951,2087340
4,2000,35,4516246,2265721,2250525
4,2000,36,4511332,2247652,2263680
4,2000,37,4517194,2250205,2266989
4,2000,38,4553953,2268184,2285769
4,2000,39,4608665,2287448,2321217
4,2000,40,4711575,2352716,2358859
4,2000,41,4466786,2213118,2253668
4,2000,42,4547350,2256634,2290716
4,2000,43,4407975,2178519,2229456
4,2000,44,4308756,2128527,2180229
4,2000,45,4341527,2151159,2190368
4,2000,46,4087654,2009636,2078018
4,2000,47,4019752,1976170,2043582
4,2000,48,3885186,1909699,1975487
4,2000,49,3758592,1843047,1915545
4,2000,50,3808594,1871696,1936898
4,2000,51,3617046,1769506,1847540
4,2000,52,3707484,1815815,1891669
4,2000,53,3635093,1778453,1856640
4,2000,54,2817607,1372444,1445163
4,2000,55,2850637,1386882,1463755
4,2000,56,2837499,1375216,1462283
4,2000,57,2864071,1384228,1479843
4,2000,58,2540176,1222721,1317455
4,2000,59,2377042,1139788,1237254
4,2000,60,2319979,1111580,1208399
4,2000,61,2221254,1061697,1159557
4,2000,62,2171092,1033877,1137215
4,2000,63,2053173,971217,1081956
4,2000,64,2040077,958337,1081740
4,2000,65,2029935,950668,1079267
4,2000,66,1860335,864161,996174
4,2000,67,1896472,874088,1022384
4,2000,68,1864540,856162,1008378
4,2000,69,1882369,855350,1027019
4,2000,70,1875190,844527,1030663
4,2000,71,1788282,798522,989760
4,2000,72,1791714,791181,1000533
4,2000,73,1725193,751444,973749
4,2000,74,1677154,717295,959859
4,2000,75,1651677,695884,955793
4,2000,76,1556581,647774,908807
4,2000,77,1460793,599749,861044
4,2000,78,1431934,579374,852560
4,2000,79,1314925,521712,793213
4,2000,80,1207377,467018,740359
4,2000,81,1072050,406546,665504
4,2000,82,981578,364821,616757
4,2000,83,883075,317288,565787
4,2000,84,801346,279243,522103
4,2000,85,4239674,1227016,3012658
7,2000,999,282162411,138443407,143719004
7,2000,0,3855956,1974134,1881822
7,2000,1,3798691,1942607,1856084
7,2000,2,3800144,1944116,1856028
7,2000,3,3821118,1952707,1868411
7,2000,4,3902384,1997055,1905329
7,2000,5,3967834,2032440,1935394
7,2000,6,4004335,2050345,1953990
7,2000,7,4091467,2097092,1994375
7,2000,8,4164871,2130700,2034171
7,2000,9,4235345,2168780,2066565
7,2000,10,4318540,2213934,2104606
7,2000,11,4151953,2126985,2024968
7,2000,12,4084732,2092056,1992676
7,2000,13,4034618,2066123,1968495
7,2000,14,4047853,2075544,1972309
7,2000,15,4064678,2088733,1975945
7,2000,16,3983291,2052755,1930536
7,2000,17,4048379,2093094,1955285
7,2000,18,4079606,2101077,1978529
7,2000,19,4119001,2104364,2014637
7,2000,20,4101286,2095670,2005616
7,2000,21,3893853,1993520,1900333
7,2000,22,3771190,1928772,1842418
7,2000,23,3722452,1900229,1822223
7,2000,24,3627886,1848662,1779224
7,2000,25,3747738,1905777,1841961
7,2000,26,3644037,1846928,1797109
7,2000,27,3747633,1892865,1854768
7,2000,28,3947343,1991941,1955402
7,2000,29,4193512,2110379,2083133
7,2000,30,4297742,2175073,2122669
7,2000,31,4062757,2048286,2014471
7,2000,32,3999268,2011411,1987857
7,2000,33,4019117,2014667,2004450
7,2000,34,4145350,2079604,2065746
7,2000,35,4446557,2229957,2216600
7,2000,36,4528984,2260596,2268388
7,2000,37,4523611,2251740,2271871
7,2000,38,4547235,2264584,2282651
7,2000,39,4604465,2286224,2318241
7,2000,40,4696305,2342182,2354123
7,2000,41,4513298,2238985,2274313
7,2000,42,4522455,2243745,2278710
7,2000,43,4476856,2213710,2263146
7,2000,44,4309077,2127813,2181264
7,2000,45,4335271,2146851,2188420
7,2000,46,4155176,2045796,2109380
7,2000,47,4025331,1978294,2047037
7,2000,48,3898395,1916575,1981820
7,2000,49,3805354,1865877,1939477
7,2000,50,3800059,1866324,1933735
7,2000,51,3663455,1793558,1869897
7,2000,52,3637919,1780544,1857375
7,2000,53,3816136,1868259,1947877
7,2000,54,2861878,1394700,1467178
7,2000,55,2854393,1388812,1465581
7,2000,56,2817330,1365672,1451658
7,2000,57,2913690,1409060,1504630
7,2000,58,2580483,1242476,1338007
7,2000,59,2400041,1151308,1248733
7,2000,60,2337902,1119568,1218334
7,2000,61,2230218,1067425,1162793
7,2000,62,2190359,1042104,1148255
7,2000,63,2069449,979869,1089580
7,2000,64,2035201,957957,1077244
7,2000,65,2039337,954031,1085306
7,2000,66,1876784,873031,1003753
7,2000,67,1882892,869025,1013867
7,2000,68,1867764,857003,1010761
7,2000,69,1857132,845387,1011745
7,2000,70,1884298,848854,1035444
7,2000,71,1788317,799703,988614
7,2000,72,1781935,787324,994611
7,2000,73,1735378,757651,977727
7,2000,74,1670100,716602,953498
7,2000,75,1649707,695724,953983
7,2000,76,1568457,651889,916568
7,2000,77,1472736,606473,866263
7,2000,78,1417670,573878,843792
7,2000,79,1330049,528918,801131
7,2000,80,1229253,476213,753040
7,2000,81,1066141,404997,661144
7,2000,82,1002304,372852,629452
7,2000,83,884002,319064,564938
7,2000,84,802840,279887,522953
7,2000,85,4262472,1235911,3026561
7,2001,999,284968955,139891492,145077463
7,2001,0,4012658,2049753,1962905
7,2001,1,3855407,1972806,1882601
7,2001,2,3800096,1942915,1857181
7,2001,3,3802710,1945267,1857443
7,2001,4,3827346,1956035,1871311
7,2001,5,3910033,2000821,1909212
7,2001,6,3972508,2034568,1937940
7,2001,7,4012049,2054047,1958002
7,2001,8,4099542,2101358,1998184
7,2001,9,4179230,2138270,2040960
7,2001,10,4277249,2190238,2087011
7,2001,11,4344913,2227595,2117318
7,2001,12,4183955,2143114,2040841
7,2001,13,4113191,2106768,2006423
7,2001,14,4059370,2079494,1979876
7,2001,15,4083878,2096444,1987434
7,2001,16,4108304,2115451,1992853
7,2001,17,4028736,2081398,1947338
7,2001,18,4102851,2124855,1977996
7,2001,19,4132515,2129239,2003276
7,2001,20,4156725,2122324,2034401
7,2001,21,4133311,2107865,2025446
7,2001,22,3919316,2002585,1916731
7,2001,23,3798554,1938492,1860062
7,2001,24,3749380,1909070,1840310
7,2001,25,3659719,1859564,1800155
7,2001,26,3768152,1909984,1858168
7,2001,27,3668700,1853810,1814890
7,2001,28,3766129,1898587,1867542
7,2001,29,3956647,1994289,1962358
7,2001,30,4218260,2121783,2096477
7,2001,31,4302689,2174543,2128146
7,2001,32,4082902,2055935,2026967
7,2001,33,4014912,2016658,1998254
